Building for debugging...
[0/13] Write disk-witness-mcp-entitlement.plist
[1/13] Write sources
[5/13] Write DiskStewardApp-entitlement.plist
[6/13] Write swift-version--58304C5D6DBC2206.txt
[8/35] Compiling DiskStewardCore TaskImpactCorrelation.swift
[9/35] Compiling DiskStewardCore BoundedEndpointEventBuffer.swift
[10/35] Compiling DiskStewardCore EndpointEventNormalizer.swift
[11/35] Compiling DiskStewardCore PrivilegedEventModels.swift
[12/35] Compiling DiskStewardCore ProtectedEndpointBridge.swift
[13/35] Compiling DiskStewardCore EvidenceEventTiming+SQLite.swift
[14/35] Compiling DiskStewardCore EvidenceEventTimingPresentation.swift
[15/35] Compiling DiskStewardCore EvidenceLifecycleModels.swift
[16/35] Compiling DiskStewardCore EvidenceQueryModels.swift
[17/35] Compiling DiskStewardCore EvidenceStore.swift
[18/35] Compiling DiskStewardCore EvidenceStoreModels.swift
[19/35] Compiling DiskStewardCore SQLiteConnection.swift
[20/35] Compiling DiskStewardCore GrowthExplanation.swift
[21/35] Compiling DiskStewardCore EvidenceBundleExporter.swift
[22/35] Compiling DiskStewardCore EvidenceBundleModels.swift
[23/35] Compiling DiskStewardCore EvidenceTimestamp.swift
[24/35] Compiling DiskStewardCore OwnedExportDirectory.swift
[25/35] Compiling DiskStewardCore ZlibCodec.swift
[26/35] Compiling DiskStewardCore SHA256Digest.swift
[27/35] Compiling DiskStewardCore SnapshotExportModels.swift
[28/35] Compiling DiskStewardCore SnapshotExporter.swift
[29/35] Emitting module DiskStewardCore
[30/55] Compiling DiskStewardCore AgentAccessStateFile.swift
[31/55] Compiling DiskStewardCore DiskStewardIPCClient.swift
[32/55] Compiling DiskStewardCore JSONValue.swift
[33/55] Compiling DiskStewardCore UnixSocketEvidenceServer.swift
[34/55] Compiling DiskStewardCore DirectoryMetadataScanner.swift
[35/55] Compiling DiskStewardCore MonitoringPolicy.swift
[36/55] Compiling DiskStewardCore ScanPublicationFence.swift
[37/55] Compiling DiskStewardCore TargetedFSEventsCollector.swift
[38/55] Compiling DiskStewardCore WholeVolumeSampler.swift
[39/55] Compiling DiskStewardCore WriteCoalescer.swift
[40/55] Compiling DiskStewardCore EvidencePrivacyFilter.swift
[41/55] Compiling DiskStewardCore ProductIdentity.swift
[42/55] Compiling DiskStewardCore ProvenanceEngine.swift
[43/55] Compiling DiskStewardCore ProvenanceModels.swift
[44/55] Compiling DiskStewardCore ResourceBudget.swift
[45/55] Compiling DiskStewardCore AgentSessionModels.swift
[46/55] Compiling DiskStewardCore AgentSessionRegistry.swift
[47/55] Compiling DiskStewardCore ProcessAncestryTracker.swift
[48/55] Compiling DiskStewardCore StorageSnapshot.swift
[49/55] Compiling DiskStewardCore VolumeSnapshotService.swift
[50/60] Emitting module DiskStewardEndpoint
[51/60] Compiling DiskStewardEndpoint EndpointSecurityObserver.swift
[52/60] Emitting module DiskStewardMCP
[53/60] Compiling DiskStewardMCP MCPResponseSanitizer.swift
[54/60] Compiling DiskStewardMCP MCPServer.swift
[55/78] Compiling DiskStewardApp AgentIntegrationsView.swift
[56/78] Compiling DiskStewardApp ClaudeCodeIntegrationAdapter.swift
[56/78] Write Objects.LinkFileList
[57/78] Linking disk-witness-mcp
[58/78] Applying disk-witness-mcp
[60/78] Compiling DiskStewardApp AgentIntegrationInfrastructure.swift
[61/78] Compiling DiskStewardApp AgentIntegrationModels.swift
[64/78] Compiling DiskStewardApp ClaudeDesktopIntegrationAdapter.swift
[65/78] Compiling DiskStewardApp CodexClientSupport.swift
[66/78] Compiling DiskStewardApp CursorJSONIntegrationSupport.swift
[67/78] Compiling DiskStewardApp ManualIntegrationAdapter.swift
[68/78] Compiling DiskStewardApp VSCodeIntegrationAdapter.swift
[69/78] Compiling DiskStewardApp AppConfiguration.swift
[70/78] Compiling DiskStewardApp AppSurfaces.swift
[71/78] Compiling DiskStewardApp ApplicationDelegate.swift
[72/78] Compiling DiskStewardApp AppEvidenceQueryBackend.swift
[73/78] Compiling DiskStewardApp LaunchAtLoginController.swift
[74/78] Compiling DiskStewardApp MonitoringLifecycleController.swift
[75/78] Emitting module DiskStewardApp
[76/92] Compiling DiskStewardApp PersistentMonitoringProbe.swift
[77/92] Compiling DiskStewardApp MCPAccessController.swift
[78/92] Compiling DiskStewardApp MonitoringSettingsView.swift
[79/92] Compiling DiskStewardApp ThresholdNotificationPolicy.swift
[80/92] Compiling DiskStewardApp UserNotificationDelivery.swift
[81/92] Compiling DiskStewardApp PermissionOnboarding.swift
[82/92] Compiling DiskStewardApp ProvenanceBoardItem.swift
[83/92] Compiling DiskStewardApp AgentAccessSettingsStore.swift
[84/92] Compiling DiskStewardApp MonitoringSettings.swift
[85/92] Compiling DiskStewardApp MonitoringSettingsStore.swift
[86/92] Compiling DiskStewardApp StatusBoardView.swift
[87/92] Compiling DiskStewardApp StatusBoardViewModel.swift
[88/92] Compiling DiskStewardApp StatusItemController.swift
[89/92] Compiling DiskStewardApp main.swift
[89/92] Write Objects.LinkFileList
[90/92] Linking DiskStewardApp
[91/92] Applying DiskStewardApp
Build complete! (18.37s)
